,hd,proper,ra,dec,dist,rv,mag,absmag,spect,ci,con,lum,exp,modexp,tgtfn,adjra_hms,adjdec_dms,adjra_deg,adjra_hour,adjdec_deg
61308,109590,,12.601492,-42.309646,87.9507,29.0,7.99,3.269,sdF2,0.449,Cen,4.289,288,693.4370594020932,HD109590_Typsd_Mag7.99,"hms_tuple(h=12.0, m=36.0, s=30.476591590458355)","dms_tuple(d=-42.0, m=-20.0, s=-26.450894181198237)",189.126986,12.608466,-42.340681
76739,140283,,15.71753,-10.933497,58.2751,-171.4,7.2,3.373,sdF3,0.484,Lib,3.898,158,345.3801253121633,HD140283_Typsd_Mag7.2,"hms_tuple(h=15.0, m=43.0, s=22.009774665400954)","dms_tuple(d=-10.0, m=-57.0, s=-52.449249638743396)",235.841707,15.72278,-10.964569
82291,151932,,16.872013,-41.854514,100000.0,25.0,6.36,-13.64,WN...,0.264,Sco,24888573.183,83,164.59960755259254,HD151932_TypWN_Mag6.36,"hms_tuple(h=16.0, m=52.0, s=44.172557569368394)","dms_tuple(d=-41.0, m=-53.0, s=-7.978405326583697)",253.184052,16.878937,-41.88555
82453,152270,,16.905472,-41.819868,970.8738,-44.0,6.61,-3.326,WC+...,0.15,Sco,1863.803,100,205.22157007953126,HD152270_TypWC_Mag6.61,"hms_tuple(h=16.0, m=54.0, s=44.611452735856574)","dms_tuple(d=-41.0, m=-51.0, s=-3.253010121451325)",253.685881,16.912392,-41.850904
84498,156385,,17.324973,-45.639965,100000.0,0.0,6.93,-13.07,WC...,0.037,Ara,14723125.024,128,272.1695876893252,HD156385_TypWC_Mag6.93,"hms_tuple(h=17.0, m=19.0, s=56.458789305370374)","dms_tuple(d=-45.0, m=-40.0, s=-15.57817021918595)",259.985245,17.33235,-45.670994
86731,161817,,17.777953,25.749151,182.4818,-362.8,6.97,0.664,sdA2,0.166,Her,47.25,132,281.9464748828664,HD161817_Typsd_Mag6.97,"hms_tuple(h=17.0, m=47.0, s=1.227859988896114)","dms_tuple(d=25.0, m=43.0, s=4.956701221278763)",266.755116,17.783674,25.718044
119184,163489,,17.936667,4.832527,21.7391,0.0,8.0,6.314,dK8,,Oph,0.26,290,699.5823055523535,HD163489_TypdK_Mag8.0,"hms_tuple(h=17.0, m=56.0, s=30.623271790516924)","dms_tuple(d=4.0, m=48.0, s=5.184987319574645)",269.127597,17.94184,4.80144
