,hd,proper,ra,dec,dist,rv,mag,absmag,spect,ci,con,lum,exp,modexp,tgtfn,adjra_hms,adjdec_dms,adjra_deg,adjra_hour,adjdec_deg
62029,110914,La Superba,12.752174,45.440256,320.5128,12.0,5.42,-2.109,C7Iab,2.994,CVn,607.575,40,71.81953085551153,HD110914_TypC7_Mag5.42,"hms_tuple(h=12.0, m=45.0, s=34.258990880171325)","dms_tuple(d=45.0, m=24.0, s=32.8346467340117)",191.392746,12.759516,45.409121
62950,112559,,12.940528,65.994391,431.0345,-20.0,6.63,-1.543,C7I,3.269,Dra,360.745,102,208.87503841075554,HD112559_TypC7_Mag6.63,"hms_tuple(h=12.0, m=57.0, s=11.458576995521526)","dms_tuple(d=65.0, m=57.0, s=47.49005127922487)",194.297744,12.953183,65.963192
75464,137613,,15.463421,-25.169479,595.2381,54.8,7.49,-1.383,C,1.193,Lib,311.315,197,446.0860343240754,HD137613_TypC_Mag7.49,"hms_tuple(h=15.0, m=28.0, s=8.824276608314534)","dms_tuple(d=-25.0, m=-12.0, s=-1.9324554749718459)",232.036768,15.469118,-25.200537
77205,141527,,15.80956,28.156749,100000.0,25.0,5.89,-14.11,C00 (F8pe),0.608,CrB,38370724.549,58,108.72656802009573,HD141527_TypC0_Mag5.89,"hms_tuple(h=15.0, m=48.0, s=55.457373294247674)","dms_tuple(d=28.0, m=7.0, s=32.29957142935291)",237.231072,15.815405,28.125639
84007,156074,,17.225345,42.106325,327.8689,-16.2,7.6,0.021,C...,1.147,Her,85.428,214,491.5504291096121,HD156074_TypC._Mag7.6,"hms_tuple(h=17.0, m=13.0, s=56.24210324896495)","dms_tuple(d=42.0, m=4.0, s=30.70400704257338)",258.484342,17.232289,42.075196
85356,158377,,17.495463,-19.473027,100000.0,13.5,7.51,-12.49,C,2.1,Oph,8629785.478,200,454.02750557766933,HD158377_TypC_Mag7.51,"hms_tuple(h=17.0, m=30.0, s=3.353173315588265)","dms_tuple(d=-19.0, m=-30.0, s=-14.727112787485908)",262.513972,17.500931,-19.504091
86793,161511,,17.791177,-35.701274,100000.0,-37.9,7.66,-12.34,C,2.1,Sco,7516228.94,224,518.2731261472211,HD161511_TypC_Mag7.66,"hms_tuple(h=17.0, m=47.0, s=51.09722875261184)","dms_tuple(d=-35.0, m=-43.0, s=-56.34771715707359)",266.962905,17.797527,-35.732319
